shipment_id,batch_id,origin_warehouse_id,destination_id,departure_time,arrival_time,carrier_name,vehicle_id,temperature_min,temperature_max,temperature_avg,humidity_avg,status,route_id,distance_km,created_at
SHP-000001,BAT-002126,WH-0003,OUT-0496,2025-02-10 20:05:09,2025-02-15 17:05:09,VitalMove Corp,VH-9755,1.8,6.0,3.9,66.7,delivered,RT-0014,184.9,2025-02-10 17:05:09
SHP-000002,BAT-000035,WH-0017,OUT-0282,2023-11-30 18:56:12,2023-12-03 02:56:12,BioTransport Inc,VH-7314,4.0,7.3,5.9,47.8,delayed,RT-0027,1236.6,2023-11-30 08:56:12
SHP-000003,BAT-001459,WH-0098,OUT-0407,2025-09-29 20:25:57,2025-10-02 09:25:57,SafeShip Pharma,VH-3368,4.9,9.5,6.9,62.4,rejected,RT-0044,692.9,2025-09-29 00:25:57
SHP-000004,BAT-001030,WH-0027,OUT-0118,2025-04-02 18:04:44,2025-04-04 14:04:44,BioTransport Inc,VH-4022,7.6,11.2,9.2,33.8,delayed,RT-0065,934.4,2025-04-02 03:04:44
SHP-000005,BAT-001452,WH-0061,WH-0094,2023-12-28 04:04:20,2023-12-30 11:04:20,PharmaLogix,VH-4642,1.9,9.0,5.6,55.9,in_transit,RT-0139,189.5,2023-12-27 17:04:20
SHP-000006,BAT-001328,WH-0012,OUT-0153,2023-12-11 04:15:45,2023-12-11 19:15:45,ArcticLine Shipping,VH-5363,5.5,7.7,6.6,41.8,delivered,RT-0112,3006.3,2023-12-10 13:15:45
SHP-000007,BAT-001146,WH-0106,OUT-0445,2023-06-19 12:19:43,2023-06-20 20:19:43,CryoShip Int'l,VH-9099,0.6,6.0,3.5,48.9,delayed,RT-0078,2391.5,2023-06-19 09:19:43
SHP-000008,BAT-000622,WH-0126,OUT-0026,2023-08-12 13:26:00,2023-08-15 02:26:00,SafeShip Pharma,VH-8779,5.9,11.1,7.2,54.2,delayed,RT-0181,2458.9,2023-08-12 06:26:00
SHP-000009,BAT-001845,WH-0102,WH-0072,2024-01-07 17:02:34,2024-01-09 02:02:34,BioTransport Inc,VH-7226,3.8,8.8,5.8,43.7,rejected,RT-0036,72.5,2024-01-07 12:02:34
SHP-000010,BAT-002699,WH-0126,OUT-0318,2023-07-20 10:45:14,2023-07-25 01:45:14,LifeLine Logistics,VH-4385,5.8,10.4,8.1,31.4,delivered,RT-0137,277.1,2023-07-19 22:45:14
SHP-000011,BAT-002915,WH-0141,OUT-0104,2024-06-15 17:50:44,2024-06-19 13:50:44,BioTransport Inc,VH-9233,3.9,9.3,6.7,33.7,delayed,RT-0147,2191.7,2024-06-15 09:50:44
SHP-000012,BAT-001328,WH-0102,OUT-0111,2024-07-17 02:22:52,2024-07-18 20:22:52,PharmaLogix,VH-7633,4.7,7.2,5.8,31.0,delivered,RT-0102,1570.9,2024-07-16 19:22:52
SHP-000013,BAT-000042,WH-0148,WH-0071,2023-08-01 21:01:36,2023-08-06 17:01:36,TempGuard Logistics,VH-3700,1.7,6.3,4.3,57.4,delivered,RT-0084,65.5,2023-08-01 07:01:36
SHP-000014,BAT-000625,WH-0138,OUT-0031,2025-12-28 01:02:14,2025-12-29 12:02:14,MedFreight Solutions,VH-8966,0.7,6.6,4.4,30.5,delivered,RT-0131,1986.0,2025-12-27 18:02:14
SHP-000015,BAT-000250,WH-0147,OUT-0122,2023-05-26 01:53:45,2023-05-26 21:53:45,ColdChain Express,VH-3462,3.7,8.1,6.3,40.9,delivered,RT-0111,3573.5,2023-05-25 19:53:45
